8633B0	6	34	80A98F	UNKNOWN
8633BC	C5	A9	12006	UNKNOWN
8633C8	6	3C	80BD39	UNKNOWN
8633D4	A7	BE	23706	UNKNOWN
8633E0	6	2C	80C117	UNKNOWN
8633EC	29	C2	10721	UNKNOWN
8633F8	21	3	80D7D5	UNKNOWN
863404	A9	D6	10921	UNKNOWN
863410	21	E	80D753	UNKNOWN
86341C	93	D7	13806	UNKNOWN
863428	6	16	80AA4F	CFG-SBAS
863434	2F	AC	20806	UNKNOWN
863440	6	31	80AF43	UNKNOWN
86344C	DB	B0	24306	UNKNOWN
863458	6	24	80B7FF	UNKNOWN
863464	C3	B9	20606	UNKNOWN
863470	6	25	80B42D	UNKNOWN
86347C	1D	B6	403B06	UNKNOWN
863488	6	48	80B757	UNKNOWN
863494	CB	F7	22806	UNKNOWN
8634A0	6	45	80C2EB	UNKNOWN
8634AC	AB	B4	24006	UNKNOWN
8634B8	6	44	80AB9D	UNKNOWN
8634C4	5	A9	22B06	UNKNOWN
8634D0	C	1A	80D4A1	UNKNOWN
8634DC	C7	FA	1110A	UNKNOWN
8634E8	A	FF	80DCB9	UNKNOWN
8634F4	CF	E2	1040A	UNKNOWN
863500	9	1	80FFEF	UPD-DOWNL
86350C	9F	0	10309	UNKNOWN
863518	9	4	810133	UPD-MEMCPY
863524	C1	1	10709	UNKNOWN
863530	9	8	8101C5	UPD-FLDET
86353C	EB	1	10A09	UNKNOWN
863548	9	B	810251	UPD-erase
863554	5B	2	10D09	UNKNOWN
863560	9	E	810323	UPD-RBOOT
86356C	CF	1	11209	UNKNOWN
863578	9	13	8106D9	UNKNOWN
863584	EB	6	23906	UNKNOWN
863590	6	3A	80BDF1	UNKNOWN
86359C	BD	8C	202F4	UNKNOWN
8635A8	F4	3	808FC1	UNKNOWN
8635B4	BD	8C	1A71546	UNKNOWN
8635C0	64	0	6C622D75	UNKNOWN
8635CC	47	20	2E777777	UNKNOWN
8635D8	6F	78	6D6F	UNKNOWN
8635E4	75	2D	3720786F	UNKNOWN
8635F0	50	53	2053534E	UNKNOWN
8635FC	69	76	0	UNKNOWN
86362C	1	4	11B1201	NAV-DOP
863638	1	3	11B3001	NAV-STATUS
863644	10	2	8421C7	UNKNOWN
863650	F5	1F	84225B	UNKNOWN
86365C	10	0	864199	UNKNOWN
863668	91	41	86419E	UNKNOWN
863674	7C	25	847523	UNKNOWN
863680	C0	25	1F0100	UNKNOWN
86368C	B5	41	0	UNKNOWN
8636A4	12	0	8641C1	UNKNOWN
8636B0	B1	70	3E8	UNKNOWN
8636BC	70	3	12	UNKNOWN
8636E0	B1	41	0	UNKNOWN
8636EC	64	0	0	UNKNOWN
8636F8	10	0	8641B9	UNKNOWN
863704	53	B3	0	UNKNOWN
863710	70	17	10	UNKNOWN
863734	C8	41	0	UNKNOWN
86374C	10	0	8641C4	UNKNOWN
863758	85	4D	0	UNKNOWN
863764	C0	3	12	UNKNOWN
863788	CC	41	6C696166	UNKNOWN
863794	6F	20	20747261	UNKNOWN
8637A0	20	25	29732528	UNKNOWN
8637AC	18	F	880069A	UNKNOWN
8637B8	DE	3	8C006C0	UNKNOWN
8637C4	80	1	4800380	UNKNOWN
8637D0	80	C	A980E98	UNKNOWN
8637DC	18	C	E18FF0D	UNKNOWN
8637E8	18	FF	FF18FFFF	UNKNOWN
8637F4	18	FF	FF18FFFF	UNKNOWN
863800	18	FF	FF18FFFF	UNKNOWN
86380C	84	88	858380C0	UNKNOWN
863818	8B	8C	9392918F	UNKNOWN
863824	98	99	9F9E9D9C	UNKNOWN
863830	A5	A6	ACABAAA9	UNKNOWN
