2398	80	FF	CDCDCD12	0	UNKNOWN
23AC	0	0	1F020000	0	UNKNOWN
Message in FW
26DDF4	A	1B	2154DF	UNKNOWN
26DE00	A	11	2153DD	UNKNOWN
26DE0C	A	6	215503	MON-MSGPP
26DE18	A	8	215533	MON-TXBUF
26DE24	A	7	21551B	MON-RXBUF
26DE30	A	2	21554B	MON-IO
26DE3C	A	1E	2155E3	UNKNOWN
26DE48	A	5	215645	MON-EXCEPT
26DE54	A	9	215749	MON-HW
26DE60	A	B	215879	MON-HW2
26DE6C	A	A	215615	MON-USB
26DE78	A	1C	2155C9	UNKNOWN
26DE84	A	1F	2155FB	UNKNOWN
26DE90	A	1D	215565	MON-SPEC
26DE9C	A	20	21598D	UNKNOWN
26DEA8	A	21	215B07	UNKNOWN
26DEB4	A	22	21562D	UNKNOWN
26DEC0	A	23	215B29	UNKNOWN
26DECC	3	2	217443	TRK-SFRB
26DED8	3	9	217447	UNKNOWN
26DEE4	3	A	2174C3	TRK-TRKD5
26DEF0	3	C	21758D	UNKNOWN
26DEFC	1	6	215D8B	NAV-SOL
26DF08	1	30	216193	NAV-SVINFO
26DF14	1	3	215D0F	NAV-STATUS
26DF20	1	1	215B9D	NAV-POSECEF
26DF2C	1	2	215BE7	NAV-POSLLH
26DF38	1	4	215C87	NAV-DOP
26DF44	1	11	215E43	NAV-VELECEF
26DF50	1	12	215E87	NAV-VELNED
26DF5C	1	20	215F11	NAV-TIMEGPS
26DF68	1	21	215FB1	NAV-TIMEUTC
26DF74	1	22	216045	NAV-CLOCK
26DF80	1	32	2164B3	NAV-SBAS
26DF8C	1	31	2165E3	NAV-DGPS
26DF98	1	60	216699	NAV-AOPSTATUS
26DFA4	F0	A	20EA39	NMEA
26DFB0	F0	4	20F3E9	NMEA
26DFBC	F0	5	20F4D7	NMEA
26DFC8	F0	0	20ECD1	NMEA
26DFD4	F0	2	20EFC1	NMEA
26DFE0	F0	3	20F157	NMEA
26DFEC	F0	1	20EF4B	NMEA
26DFF8	F0	6	20EDFD	NMEA
26E004	F0	7	20F085	NMEA
26E010	F0	8	20F5C7	NMEA
26E01C	F0	9	20EBA3	NMEA
26E028	F1	0	20F8C9	pubx00
26E034	F1	3	20F8CD	pubx03
26E040	F1	4	20FA13	pubx04
